name,rating,number_of_photos,message,name_clean,name_length,rating_clean,rating_length,number_of_photos_clean,number_of_photos_length,message_clean,message_length
Francisco Felice,,,8 anos atrás Melhor cafeteria de SP  /,francisco felice,16,nan,3,nan,3,8 anos atrás melhor cafeteria de sp /,37
Rodrigo Pastore,,,"7 anos atrás Serviço atrapalhado, comida de qualidade  /",rodrigo pastore,15,nan,3,nan,3,"7 anos atrás serviço atrapalhado, comida de qualidade /",55
Bento Neto,,,·1 foto 5 anos atrás Saborosos capuccino e sorvetes,bento neto,10,nan,3,nan,3,·1 foto 5 anos atrás saborosos capuccino e sorvetes,51
Victor Roque Guglielmi,,121.0,Editado 7 anos atrás Adoro os salgados e os doces  /,victor roque guglielmi,22,nan,3,121.0,5,editado 7 anos atrás adoro os salgados e os doces /,51
Leni Sabino Ramalho Okada,,17.0,um ano atrás Coisas saborosas!  /,leni sabino ramalho okada,25,nan,3,17.0,4,um ano atrás coisas saborosas! /,32
Marcia Regina Silva,,,4 anos atrás Ótimo atendimento e serviço de qualidade.,marcia regina silva,19,nan,3,nan,3,4 anos atrás ótimo atendimento e serviço de qualidade.,54
Nissim Corretor,,23.0,8 anos atrás Tudo sempre fresquinho.  /,nissim corretor,15,nan,3,23.0,4,8 anos atrás tudo sempre fresquinho. /,38
Carlos Crescente,,2.0,um ano atrás Produtos excelentes  /,carlos crescente,16,nan,3,2.0,3,um ano atrás produtos excelentes /,34
Celso Silva,,206.0,4 anos atrás Doces e salgados deliciosos!  /,celso silva,11,nan,3,206.0,5,4 anos atrás doces e salgados deliciosos! /,43
Sandra Moreno,,28.0,"6 anos atrás Delicia, TD de bom  /",sandra moreno,13,nan,3,28.0,4,"6 anos atrás delicia, td de bom /",33
Julio Arantes,,36.0,5 anos atrás Produtos de boa qualidade.  /,julio arantes,13,nan,3,36.0,4,5 anos atrás produtos de boa qualidade. /,41
Sylvia Novaes,,228.0,Editado 7 anos atrás Bonito. Simples.  /,sylvia novaes,13,nan,3,228.0,5,editado 7 anos atrás bonito. simples. /,39
Elvira Schuartz,,5.0,8 anos atrás Pao de queijo delicioso  /,elvira schuartz,15,nan,3,5.0,3,8 anos atrás pao de queijo delicioso /,38
Tatiana Alves,,,3 anos atrás Adorei lugar muito simpático  /,tatiana alves,13,nan,3,nan,3,3 anos atrás adorei lugar muito simpático /,43
marcia katayama,,,3 anos atrás Muito boa  /,marcia katayama,15,nan,3,nan,3,3 anos atrás muito boa /,24
Sergio Augusto Portela,,2.0,8 anos atrás Tradição e qualidade imbatíveis.  /,sergio augusto portela,22,nan,3,2.0,3,8 anos atrás tradição e qualidade imbatíveis. /,47
Adriana Barbosa,,,8 anos atrás Café e sobremesas deliciosas.  /,adriana barbosa,15,nan,3,nan,3,8 anos atrás café e sobremesas deliciosas. /,44
MÁRCIA BRITO,,37.0,7 anos atrás Adoro as opções diets...  /,márcia brito,12,nan,3,37.0,4,7 anos atrás adoro as opções diets... /,39
Cristiana Janson,,300.0,Editado 7 anos atrás Capucino com torta mil folhas  /,cristiana janson,16,nan,3,300.0,5,editado 7 anos atrás capucino com torta mil folhas /,52
Malu Pesquisa,,11.0,4 anos atrás Ambiente muito bom  /,malu pesquisa,13,nan,3,11.0,4,4 anos atrás ambiente muito bom /,33
Marcos Roberto Bartok,,140.0,5 anos atrás Nota 10  /,marcos roberto bartok,21,nan,3,140.0,5,5 anos atrás nota 10 /,22
Elio Micheloni,,37.0,5 anos atrás Ja foi bem  /,elio micheloni,14,nan,3,37.0,4,5 anos atrás ja foi bem /,25
Milton Ray Junior,,21.0,7 anos atrás Lugar 10  /,milton ray junior,17,nan,3,21.0,4,7 anos atrás lugar 10 /,23
Ricardo Müllenmeister,,29.0,8 anos atrás Uma delícia como sempre!  /,ricardo müllenmeister,21,nan,3,29.0,4,8 anos atrás uma delícia como sempre! /,39
Sergio Nieri Barillari,,18.0,8 anos atrás Doces e mesas na calçada  /,sergio nieri barillari,22,nan,3,18.0,4,8 anos atrás doces e mesas na calçada /,39
Aldo Roggers de Oliveira Junior,,26.0,"8 anos atrás Bom, mas caro  /",aldo roggers de oliveira junior,31,nan,3,26.0,4,"8 anos atrás bom, mas caro /",28
Karen Rejowski,,,4 anos atrás Atendimento e produtos excelentes !  /,karen rejowski,14,nan,3,nan,3,4 anos atrás atendimento e produtos excelentes ! /,50
Cristina M. Ots.,,74.0,5 anos atrás Ótimas opções zero!,cristina m. ots.,16,nan,3,74.0,4,5 anos atrás ótimas opções zero!,32
Luiz,,30.0,5 anos atrás Uma das melhores docerias de SP,luiz,4,nan,3,30.0,4,5 anos atrás uma das melhores docerias de sp,44
Rita De Cassia Antunes Sperandeo,,,6 anos atrás Doces e salgados mara!  /,rita de cassia antunes sperandeo,32,nan,3,nan,3,6 anos atrás doces e salgados mara! /,37
Monica Wright,,122.0,6 anos atrás Sempre uma delícia!  /,monica wright,13,nan,3,122.0,5,6 anos atrás sempre uma delícia! /,34
Antonio Sergio Petrocchi,,3.0,7 anos atrás Muito boa  /,antonio sergio petrocchi,24,nan,3,3.0,3,7 anos atrás muito boa /,24
Denise Del Pozzo Silva,,2.0,2 anos atrás Demora no atendimento  /,denise del pozzo silva,22,nan,3,2.0,3,2 anos atrás demora no atendimento /,36
Gabriela Durso,,,"3 anos atrás Delicioso, atendimento ótimo  /",gabriela durso,14,nan,3,nan,3,"3 anos atrás delicioso, atendimento ótimo /",43
Marlene Miglioli,,,7 anos atrás Muito gostosa.  /,marlene miglioli,16,nan,3,nan,3,7 anos atrás muito gostosa. /,29
Fernando Luiz Vaz dos Santos,,11.0,6 anos atrás Sempre agradável.  /,fernando luiz vaz dos santos,28,nan,3,11.0,4,6 anos atrás sempre agradável. /,32
Vitor de Paula Silva,,4.0,4 anos atrás Sempre uma delícia.  /,vitor de paula silva,20,nan,3,4.0,3,4 anos atrás sempre uma delícia. /,34
Ademir luiz dos santos,,4.0,4 anos atrás Muitas delícias  /,ademir luiz dos santos,22,nan,3,4.0,3,4 anos atrás muitas delícias /,30
Ailton Gonçalves,,129.0,7 anos atrás ótima. aconchegante. amplo.  /,ailton gonçalves,16,nan,3,129.0,5,7 anos atrás ótima. aconchegante. amplo. /,42
Dennys Takao,,8.0,4 anos atrás Atendentes muito atenciosos!  /,dennys takao,12,nan,3,8.0,3,4 anos atrás atendentes muito atenciosos! /,43
Alonso Marinone,,,7 anos atrás Continua muito boa .  /,alonso marinone,15,nan,3,nan,3,7 anos atrás continua muito boa . /,35
pedro py,,63.0,7 anos atrás Produtos doces de 1°  /,pedro py,8,nan,3,63.0,4,7 anos atrás produtos doces de 1° /,35
Rubens Migliaccio,,4.0,8 anos atrás Ótimos doces  /,rubens migliaccio,17,nan,3,4.0,3,8 anos atrás ótimos doces /,27
Gizelle Brito,,318.0,7 anos atrás Tudo feito no capricho!  /,gizelle brito,13,nan,3,318.0,5,7 anos atrás tudo feito no capricho! /,38
Lucas Sousa,,,5 anos atrás Um lugar calmo bom,lucas sousa,11,nan,3,nan,3,5 anos atrás um lugar calmo bom,31
Fernando Messias,,280.0,7 anos atrás Amo os salgados da offner  /,fernando messias,16,nan,3,280.0,5,7 anos atrás amo os salgados da offner /,40
Fuad Haddad,,,8 anos atrás Caaaro mas gostoso ...  /,fuad haddad,11,nan,3,nan,3,8 anos atrás caaaro mas gostoso ... /,37
Jair Carolino dos Santos,,7.0,4 anos atrás 🤩  /,jair carolino dos santos,24,nan,3,7.0,3,4 anos atrás 🤩 /,16
Isabel Ferro,,,6 anos atrás Salgados e Doces deliciosos  /,isabel ferro,12,nan,3,nan,3,6 anos atrás salgados e doces deliciosos /,42
SHIRLEY GOLDBACH,,174.0,7 anos atrás Chegamos no final do expediente.  /,shirley goldbach,16,nan,3,174.0,5,7 anos atrás chegamos no final do expediente. /,47
Renato DElia,,52.0,7 anos atrás Preços muito caros  /,renato delia,12,nan,3,52.0,4,7 anos atrás preços muito caros /,33
Camila Diniz,,8.0,um ano atrás Pessimo atendimento. 🙏1  /,camila diniz,12,nan,3,8.0,3,um ano atrás pessimo atendimento. 🙏1 /,38
Dr Luiz Schuchmann,,6.0,5 anos atrás excelente doceria,dr luiz schuchmann,18,nan,3,6.0,3,5 anos atrás excelente doceria,30
Nisard Ferraz de Negreiros Filho,,1323.0,Editado 3 anos atrás Ótima. Continua ótima.  /,nisard ferraz de negreiros filho,32,nan,3,1323.0,6,editado 3 anos atrás ótima. continua ótima. /,45
Carolina Godoy,,,2 anos atrás Sujo e péssimo atendimento  /,carolina godoy,14,nan,3,nan,3,2 anos atrás sujo e péssimo atendimento /,41
Enrique Araujo till Junior (frekaz),,123.0,9 anos atrás O café é ótimo 🙏1  /,enrique araujo till junior (frekaz),35,nan,3,123.0,5,9 anos atrás o café é ótimo 🙏1 /,32
Wanderlei Braghin,,,2 anos atrás Não estive lá  /,wanderlei braghin,17,nan,3,nan,3,2 anos atrás não estive lá /,28
Gilberto Braz,,9.0,7 anos atrás Sempre excelente  /,gilberto braz,13,nan,3,9.0,3,7 anos atrás sempre excelente /,31
ned ludd,,326.0,6 anos atrás A delícia das delícias!  /,ned ludd,8,nan,3,326.0,5,6 anos atrás a delícia das delícias! /,38
Luisa Bossa,,,5 anos atrás Bom mas caro  /,luisa bossa,11,nan,3,nan,3,5 anos atrás bom mas caro /,27
Elidio Frias,,7.0,5 anos atrás Atendimento muito bom!  /,elidio frias,12,nan,3,7.0,3,5 anos atrás atendimento muito bom! /,37
Renato Piccinin,,1966.0,4 anos atrás Café maravilhoso,renato piccinin,15,nan,3,1966.0,6,4 anos atrás café maravilhoso,29
Jessica da Silva,,9.0,5 anos atrás Muito bom mesmo  /,jessica da silva,16,nan,3,9.0,3,5 anos atrás muito bom mesmo /,30
Renata Pastore,,,6 anos atrás Tudo maravilhoso!  /,renata pastore,14,nan,3,nan,3,6 anos atrás tudo maravilhoso! /,32
Mauricio C. Peres,,2.0,2 anos atrás Não estive nesse lugar ! !  /,mauricio c. peres,17,nan,3,2.0,3,2 anos atrás não estive nesse lugar ! ! /,41
Wilson Gorgone,,12.0,5 anos atrás O melhor café,wilson gorgone,14,nan,3,12.0,4,5 anos atrás o melhor café,26
Jéssica Luana S. Vasconcelos,,14.0,5 anos atrás Ligar cheio de delícias,jéssica luana s. vasconcelos,28,nan,3,14.0,4,5 anos atrás ligar cheio de delícias,36
Alexander Victor,,40.0,6 anos atrás Ótimo atendimento. Recomendo.  /,alexander victor,16,nan,3,40.0,4,6 anos atrás ótimo atendimento. recomendo. /,44
Percio Diogo,,2.0,Editado 6 anos atrás Ótimo!  /,percio diogo,12,nan,3,2.0,3,editado 6 anos atrás ótimo! /,29
Renato Grandini,,15.0,8 anos atrás Esse lugar é encantador...  /,renato grandini,15,nan,3,15.0,4,8 anos atrás esse lugar é encantador... /,41
Luis Carlos Cavanha,,,7 anos atrás Melhor lugar para um café  /,luis carlos cavanha,19,nan,3,nan,3,7 anos atrás melhor lugar para um café /,40
Luiz Pomarole,,,4 anos atrás Variedade e boa localização  /,luiz pomarole,13,nan,3,nan,3,4 anos atrás variedade e boa localização /,42
Guilherme. Tell,,136.0,6 anos atrás Agradável de fazer uma pausa.  /,guilherme. tell,15,nan,3,136.0,5,6 anos atrás agradável de fazer uma pausa. /,44
Luciana Garrido,,,um ano atrás Atendimento excelente  /,luciana garrido,15,nan,3,nan,3,um ano atrás atendimento excelente /,36
adilson jorge pereira,,2.0,5 anos atrás Pacaembú é um lugar maravilhoso  /,adilson jorge pereira,21,nan,3,2.0,3,5 anos atrás pacaembú é um lugar maravilhoso /,46
Wanda Regina Sanches,,3.0,4 anos atrás Otimo .  /,wanda regina sanches,20,nan,3,3.0,3,4 anos atrás otimo . /,22
Helena Drago,,24.0,Editado 8 anos atrás Amo o café.  /,helena drago,12,nan,3,24.0,4,editado 8 anos atrás amo o café. /,34
Katia Gallo,,86.0,5 anos atrás Lugar delicioso!!!,katia gallo,11,nan,3,86.0,4,5 anos atrás lugar delicioso!!!,31
Contato - Adv Rebouças,,29.0,4 anos atrás Delícia.  /,contato - adv rebouças,22,nan,3,29.0,4,4 anos atrás delícia. /,23
Tereza Verardo,,,Editado 6 anos atrás Muito bom e muito caro  /,tereza verardo,14,nan,3,nan,3,editado 6 anos atrás muito bom e muito caro /,45
Sergio Bruni,,10.0,4 anos atrás Sou fã da Ofner,sergio bruni,12,nan,3,10.0,4,4 anos atrás sou fã da ofner,28
Chila Original,,77.0,8 anos atrás Achei um ótimo atendimento.  /,chila original,14,nan,3,77.0,4,8 anos atrás achei um ótimo atendimento. /,42
Egivaldo Araujo,,,·1 foto 5 anos atrás Lugar delicioso!!!,egivaldo araujo,15,nan,3,nan,3,·1 foto 5 anos atrás lugar delicioso!!!,39
Pedro Pompeu,,,2 anos atrás Salgados deliciosos!  /,pedro pompeu,12,nan,3,nan,3,2 anos atrás salgados deliciosos! /,35
Juliano Jr,,,6 anos atrás Foi maravilhoso  /,juliano jr,10,nan,3,nan,3,6 anos atrás foi maravilhoso /,30
Rodrigo Domingues,,45.0,6 anos atrás Quem conhece entende as 5 estrelas !!!!!  /,rodrigo domingues,17,nan,3,45.0,4,6 anos atrás quem conhece entende as 5 estrelas !!!!! /,55
Alda Regina Batista Molina,,75.0,7 anos atrás Adoro!!  /,alda regina batista molina,26,nan,3,75.0,4,7 anos atrás adoro!! /,22
Ignacio Grabovsky,,,8 anos atrás Sobremesas e café de primeira  /,ignacio grabovsky,17,nan,3,nan,3,8 anos atrás sobremesas e café de primeira /,44
Raquel Meneses Silva Cardoso,,91.0,5 anos atrás Amooooo!!,raquel meneses silva cardoso,28,nan,3,91.0,4,5 anos atrás amooooo!!,22
Cleber Silva,,298.0,8 anos atrás Ótimo!  /,cleber silva,12,nan,3,298.0,5,8 anos atrás ótimo! /,21
Delacir3 Poloni,,,·1 foto 7 anos atrás Otima!  /,delacir3 poloni,15,nan,3,nan,3,·1 foto 7 anos atrás otima! /,29
Julia Nogueira,,,·1 foto 8 anos atrás Doces maravilhosos  /,julia nogueira,14,nan,3,nan,3,·1 foto 8 anos atrás doces maravilhosos /,41
Helio Reis,,16.0,6 anos atrás Muitas gostosuras.  /,helio reis,10,nan,3,16.0,4,6 anos atrás muitas gostosuras. /,33
Bernardo FG,,143.0,"8 anos atrás Sofisticado, porem altos preços.  /",bernardo fg,11,nan,3,143.0,5,"8 anos atrás sofisticado, porem altos preços. /",47
Maria Madalena de Souza,,,·1 foto 7 anos atrás Adoro o capuccino.  /,maria madalena de souza,23,nan,3,nan,3,·1 foto 7 anos atrás adoro o capuccino. /,41
Jefferson Izael,,,4 anos atrás Excelente loja,jefferson izael,15,nan,3,nan,3,4 anos atrás excelente loja,27
Lourenco Stelio Rega,,2062.0,8 anos atrás Excelentes produtos  /,lourenco stelio rega,20,nan,3,2062.0,6,8 anos atrás excelentes produtos /,34
Maria Camila Gaio,,232.0,5 anos atrás Amo de paixão!  /,maria camila gaio,17,nan,3,232.0,5,5 anos atrás amo de paixão! /,29
Henrique Lambert,,6.0,6 anos atrás Ótimo café  /,henrique lambert,16,nan,3,6.0,3,6 anos atrás ótimo café /,25
Anibal Marone,,5.0,4 anos atrás Doces deliciosos  /,anibal marone,13,nan,3,5.0,3,4 anos atrás doces deliciosos /,31
Fernando Atique,,130.0,5 anos atrás É chique,fernando atique,15,nan,3,130.0,5,5 anos atrás é chique,21
Luciana Campestre,,5.0,7 anos atrás Simplesmente Maravilhoso!!!  /,luciana campestre,17,nan,3,5.0,3,7 anos atrás simplesmente maravilhoso!!! /,42
Giovani Rossi,,96.0,9 anos atrás Doces deliciosos.  /,giovani rossi,13,nan,3,96.0,4,9 anos atrás doces deliciosos. /,32
Enovinhos Enovinhos,,,"5 anos atrás Gostoso, charmoso, atencioso, $$$",enovinhos enovinhos,19,nan,3,nan,3,"5 anos atrás gostoso, charmoso, atencioso, $$$",46
Cassiano Rossi,,,Editado 7 anos atrás A melhor de SP !!  /,cassiano rossi,14,nan,3,nan,3,editado 7 anos atrás a melhor de sp !! /,40
Samuel Faria,,,7 anos atrás Muito boa.  /,samuel faria,12,nan,3,nan,3,7 anos atrás muito boa. /,25
renato scheibel,,260.0,6 anos atrás Sempre bom  /,renato scheibel,15,nan,3,260.0,5,6 anos atrás sempre bom /,25
Luiz Augusto Silva,,215.0,Editado 7 anos atrás Muito boa.  /,luiz augusto silva,18,nan,3,215.0,5,editado 7 anos atrás muito boa. /,33
sandro sacca,,4.0,4 anos atrás Otima variedade  /,sandro sacca,12,nan,3,4.0,3,4 anos atrás otima variedade /,30
Marco Dondi,,,"5 anos atrás Refinado e saboroso, hi.",marco dondi,11,nan,3,nan,3,"5 anos atrás refinado e saboroso, hi.",37
Vicente Michel,,59.0,4 anos atrás Ótima para um café  /,vicente michel,14,nan,3,59.0,4,4 anos atrás ótima para um café /,33
Mauricio Kaminker,,,7 anos atrás Sempre bom  /,mauricio kaminker,17,nan,3,nan,3,7 anos atrás sempre bom /,25
Raúl Carbonari,,8.0,4 anos atrás Produtos ótimos  /,raúl carbonari,14,nan,3,8.0,3,4 anos atrás produtos ótimos /,30
antonio bach,,,·1 foto 4 anos atrás Sempre boa.,antonio bach,12,nan,3,nan,3,·1 foto 4 anos atrás sempre boa.,32
Grazi Gracie,,43.0,4 anos atrás Amoooo este lugar,grazi gracie,12,nan,3,43.0,4,4 anos atrás amoooo este lugar,30
Marcello Morsello,,37.0,5 anos atrás Doces sensacionais.,marcello morsello,17,nan,3,37.0,4,5 anos atrás doces sensacionais.,32
Danilo Araujo,,5.0,8 anos atrás Atendimento mt bom  /,danilo araujo,13,nan,3,5.0,3,8 anos atrás atendimento mt bom /,33
Flavio Gomes,,85.0,Editado 5 anos atrás Atendimento excelente!  /,flavio gomes,12,nan,3,85.0,4,editado 5 anos atrás atendimento excelente! /,45
Cristina Oliveira,,,·1 foto 7 anos atrás Apfelstrudel maravilhoso!  /,cristina oliveira,17,nan,3,nan,3,·1 foto 7 anos atrás apfelstrudel maravilhoso! /,48
Luis Fernando Giraldi Nery,,,8 anos atrás Sofisticado e de alta qualidade  /,luis fernando giraldi nery,26,nan,3,nan,3,8 anos atrás sofisticado e de alta qualidade /,46
Tais Barbosa,,23.0,Editado 8 anos atrás Muito aconchegante!  /,tais barbosa,12,nan,3,23.0,4,editado 8 anos atrás muito aconchegante! /,42
monique nardini,,119.0,8 anos atrás Loja pequena e aconchegante  /,monique nardini,15,nan,3,119.0,5,8 anos atrás loja pequena e aconchegante /,42
eduardo de castro,,22.0,4 anos atrás Ótimo atendimento!,eduardo de castro,17,nan,3,22.0,4,4 anos atrás ótimo atendimento!,31
marta zorz,,,4 anos atrás Ótimo e caro  /,marta zorz,10,nan,3,nan,3,4 anos atrás ótimo e caro /,27
Laura Caroline Repanas Compagno,,994.0,7 anos atrás Igual a toda Ofner.  /,laura caroline repanas compagno,31,nan,3,994.0,5,7 anos atrás igual a toda ofner. /,34
Andrea Oliveira,,,2 anos atrás Atendimento excelente  /,andrea oliveira,15,nan,3,nan,3,2 anos atrás atendimento excelente /,36
Gleydson23 Husty,,4.0,4 anos atrás Boa padaria 🙏1,gleydson23 husty,16,nan,3,4.0,3,4 anos atrás boa padaria 🙏1,27
Rafael Garuzi,,,5 anos atrás Lugar Top!,rafael garuzi,13,nan,3,nan,3,5 anos atrás lugar top!,23
PROF. GOELDI,,,"7 anos atrás Antiga, confiável e profissional  /",prof. goeldi,12,nan,3,nan,3,"7 anos atrás antiga, confiável e profissional /",47
Ricardo Minervino Bispo,,12.0,8 anos atrás Muito bom!  /,ricardo minervino bispo,23,nan,3,12.0,4,8 anos atrás muito bom! /,25
Gleici Cristiane Zerbinatti,,76.0,8 anos atrás Demorou a atender. 🙏1  /,gleici cristiane zerbinatti,27,nan,3,76.0,4,8 anos atrás demorou a atender. 🙏1 /,36
Hélio de Faria Merheb Jr,,1042.0,8 anos atrás Doces fantásticos  /,hélio de faria merheb jr,24,nan,3,1042.0,6,8 anos atrás doces fantásticos /,32
Fernando Martins,,165.0,4 anos atrás Sabor e glamour.  /,fernando martins,16,nan,3,165.0,5,4 anos atrás sabor e glamour. /,31
Fernando Tomas,,32.0,8 anos atrás Muito gostoso  /,fernando tomas,14,nan,3,32.0,4,8 anos atrás muito gostoso /,28
Rafael Tascone,,14.0,3 anos atrás Muito bom.  /,rafael tascone,14,nan,3,14.0,4,3 anos atrás muito bom. /,25
Dan S.,,37.0,5 anos atrás Atendimento excelente.,dan s.,6,nan,3,37.0,4,5 anos atrás atendimento excelente.,35
Mari Ouchida,,298.0,8 anos atrás Café ótimo  /,mari ouchida,12,nan,3,298.0,5,8 anos atrás café ótimo /,25
Plinio Soares,,,5 anos atrás Chocolates maravilhosos,plinio soares,13,nan,3,nan,3,5 anos atrás chocolates maravilhosos,36
Gilberto,,7.0,7 anos atrás Excelente qualidade  /,gilberto,8,nan,3,7.0,3,7 anos atrás excelente qualidade /,34
Ilana Marion,,,4 anos atrás Gosto  /,ilana marion,12,nan,3,nan,3,4 anos atrás gosto /,20
Ggg Ssd,,,3 anos atrás Ótimo atendimento  /,ggg ssd,7,nan,3,nan,3,3 anos atrás ótimo atendimento /,32
Gilmar Rodrigues De Freitas,,187.0,5 anos atrás Atendimento muito bom,gilmar rodrigues de freitas,27,nan,3,187.0,5,5 anos atrás atendimento muito bom,34
Orlando Giorgi Junior,,1282.0,4 anos atrás Amei  /,orlando giorgi junior,21,nan,3,1282.0,6,4 anos atrás amei /,19
Fernando Carvalho,,,5 anos atrás Da pra melhorar!!  /,fernando carvalho,17,nan,3,nan,3,5 anos atrás da pra melhorar!! /,32
martha Senatore,,,4 anos atrás Adoro  /,martha senatore,15,nan,3,nan,3,4 anos atrás adoro /,20
Walter Streicher,,813.0,4 anos atrás Bom  /,walter streicher,16,nan,3,813.0,5,4 anos atrás bom /,18
vanderlei Fiedler,,2.0,4 anos atrás Delícias  /,vanderlei fiedler,17,nan,3,2.0,3,4 anos atrás delícias /,23
Catarina Sartori,,6.0,7 anos atrás Excelente atendimento.  /,catarina sartori,16,nan,3,6.0,3,7 anos atrás excelente atendimento. /,37
Fabricio Signori,,184.0,5 anos atrás Espaço,fabricio signori,16,nan,3,184.0,5,5 anos atrás espaço,19
Benedito Abreu Almeida,,7.0,7 anos atrás Excelente  /,benedito abreu almeida,22,nan,3,7.0,3,7 anos atrás excelente /,24
Irineu Bittar,,,5 anos atrás Difícil estacionamento  /,irineu bittar,13,nan,3,nan,3,5 anos atrás difícil estacionamento /,37
Carlos Alberto Arcos Sanchez,,,·1 foto 5 anos atrás Salgados maravilhosos,carlos alberto arcos sanchez,28,nan,3,nan,3,·1 foto 5 anos atrás salgados maravilhosos,42
Luiza Salome,,85.0,5 anos atrás Excelente  /,luiza salome,12,nan,3,85.0,4,5 anos atrás excelente /,24
Mauro Zolko,,,5 anos atrás Gostei  /,mauro zolko,11,nan,3,nan,3,5 anos atrás gostei /,21
Elton M. Batista,,2.0,5 anos atrás Ótimo,elton m. batista,16,nan,3,2.0,3,5 anos atrás ótimo,18
Lolo Foz,,,Editado 7 anos atrás Ótima  /,lolo foz,8,nan,3,nan,3,editado 7 anos atrás ótima /,28
Ednea Lopes,,,·1 foto 7 anos atrás Amo  /,ednea lopes,11,nan,3,nan,3,·1 foto 7 anos atrás amo /,26
jaqueline assis,,,7 anos atrás Adoro  /,jaqueline assis,15,nan,3,nan,3,7 anos atrás adoro /,20
Desopilandamente wow,,36.0,7 anos atrás Bom  /,desopilandamente wow,20,nan,3,36.0,4,7 anos atrás bom /,18
Regisl L,,,5 anos atrás Bacana,regisl l,8,nan,3,nan,3,5 anos atrás bacana,19
Debora Luque,,3.0,5 anos atrás Delícia  /,debora luque,12,nan,3,3.0,3,5 anos atrás delícia /,22
solange aparecida de freitas,,187.0,6 anos atrás Amei  /,solange aparecida de freitas,28,nan,3,187.0,5,6 anos atrás amei /,19
Talita Saldanha,,,7 anos atrás Excelente  /,talita saldanha,15,nan,3,nan,3,7 anos atrás excelente /,24
Camila Marighetti,,3.0,4 anos atrás Atendimento péssimo!  /,camila marighetti,17,nan,3,3.0,3,4 anos atrás atendimento péssimo! /,35
Deisy Loenço Lorenço,,,7 anos atrás Ótima  /,deisy loenço lorenço,20,nan,3,nan,3,7 anos atrás ótima /,20
aqui tem de tudo aqui tem de tudo,,12.0,5 anos atrás ÓTIMO,aqui tem de tudo aqui tem de tudo,33,nan,3,12.0,4,5 anos atrás ótimo,18
Alexandra Gonçalves Souza,,,·1 foto 7 anos atrás Atendimento ótimo.  /,alexandra gonçalves souza,25,nan,3,nan,3,·1 foto 7 anos atrás atendimento ótimo. /,41
dijanira carneiro,,3.0,5 anos atrás Bom  /,dijanira carneiro,17,nan,3,3.0,3,5 anos atrás bom /,18
FERNANDA SENA,,,5 anos atrás Amei,fernanda sena,13,nan,3,nan,3,5 anos atrás amei,17
silvia renata rodrigues belem oliva,,2.0,6 anos atrás Ótima  /,silvia renata rodrigues belem oliva,35,nan,3,2.0,3,6 anos atrás ótima /,20
shen ribeiro,,,6 anos atrás Bom  /,shen ribeiro,12,nan,3,nan,3,6 anos atrás bom /,18
Marcus Vinicius de Carvalho Grande,,80.0,7 anos atrás Bom  /,marcus vinicius de carvalho grande,34,nan,3,80.0,4,7 anos atrás bom /,18
Marcão p (Marco preto),,6.0,5 anos atrás bom  /,marcão p (marco preto),22,nan,3,6.0,3,5 anos atrás bom /,18
Dênis Cantagalli,,83.0,6 anos atrás Bom  /,dênis cantagalli,16,nan,3,83.0,4,6 anos atrás bom /,18
Marcelo GG Regatieri,,,·1 foto 4 anos atrás Esperava mais.  /,marcelo gg regatieri,20,nan,3,nan,3,·1 foto 4 anos atrás esperava mais. /,37
ALEX SOUZA BATISTA,,82.0,7 anos atrás Bom  /,alex souza batista,18,nan,3,82.0,4,7 anos atrás bom /,18
Valeria Gragnani,,,Editado 8 anos atrás Gosto muito do atendimento  /,valeria gragnani,16,nan,3,nan,3,editado 8 anos atrás gosto muito do atendimento /,49
Paulo Viscardi,,,6 anos atrás Ótimo  /,paulo viscardi,14,nan,3,nan,3,6 anos atrás ótimo /,20
Vivian Kijner,,2.0,5 anos atrás Adoro,vivian kijner,13,nan,3,2.0,3,5 anos atrás adoro,18
Marisa Amaral,,2.0,7 anos atrás Ótimo  /,marisa amaral,13,nan,3,2.0,3,7 anos atrás ótimo /,20
carlos cardoso,,36.0,4 anos atrás Muito caro  /,carlos cardoso,14,nan,3,36.0,4,4 anos atrás muito caro /,25
Lazaro Antonio da Silva,,2.0,8 anos atrás Muito caro  /,lazaro antonio da silva,23,nan,3,2.0,3,8 anos atrás muito caro /,25
Marco Antonio Bitelli Silva,,16.0,7 anos atrás Bom  /,marco antonio bitelli silva,27,nan,3,16.0,4,7 anos atrás bom /,18
Denise Bonutti,,6.0,6 anos atrás AMEI  /,denise bonutti,14,nan,3,6.0,3,6 anos atrás amei /,19
Sergio Vlogs,,2.0,4 anos atrás Bom e rapido,sergio vlogs,12,nan,3,2.0,3,4 anos atrás bom e rapido,25
Ilca Vargas,,,7 anos atrás Otima  /,ilca vargas,11,nan,3,nan,3,7 anos atrás otima /,20
rfZZ 788,,10.0,7 anos atrás Lugar aconchegante!  /,rfzz 788,8,nan,3,10.0,4,7 anos atrás lugar aconchegante! /,34
Norton Zanella,,61.0,8 anos atrás Bacana  /,norton zanella,14,nan,3,61.0,4,8 anos atrás bacana /,21
Denise Samama,,81.0,8 anos atrás Delicia  /,denise samama,13,nan,3,81.0,4,8 anos atrás delicia /,22
Victor Magnani,,,7 anos atrás Difícil de estacionar  /,victor magnani,14,nan,3,nan,3,7 anos atrás difícil de estacionar /,36
George Tadeu Araujo,,212.0,8 anos atrás Café  /,george tadeu araujo,19,nan,3,212.0,5,8 anos atrás café /,19
